id:[14858], time_cost:[1241], payload_size:[14848], speed:[11.964545]
id:[11409], time_cost:[1413], payload_size:[35840], speed:[25.364473]
id:[14897], time_cost:[1292], payload_size:[11776], speed:[9.114551]
id:[11798], time_cost:[1176], payload_size:[19968], speed:[16.979592]
id:[11373], time_cost:[1516], payload_size:[11776], speed:[7.767810]
id:[10056], time_cost:[1592], payload_size:[8704], speed:[5.467337]
id:[10917], time_cost:[976], payload_size:[28672], speed:[29.377049]
id:[10982], time_cost:[1125], payload_size:[15872], speed:[14.108444]
id:[12475], time_cost:[1045], payload_size:[16384], speed:[15.678469]
id:[10786], time_cost:[764], payload_size:[12288], speed:[16.083770]
id:[10526], time_cost:[1408], payload_size:[48640], speed:[34.545455]
id:[13071], time_cost:[1443], payload_size:[39424], speed:[27.320859]
id:[14792], time_cost:[1096], payload_size:[12800], speed:[11.678832]
id:[10347], time_cost:[1030], payload_size:[7680], speed:[7.456311]
id:[13462], time_cost:[1259], payload_size:[9216], speed:[7.320095]
id:[10284], time_cost:[1440], payload_size:[9216], speed:[6.400000]
id:[12851], time_cost:[1568], payload_size:[38912], speed:[24.816327]
id:[12006], time_cost:[1404], payload_size:[38912], speed:[27.715100]
id:[10633], time_cost:[1544], payload_size:[43520], speed:[28.186528]
id:[12388], time_cost:[1035], payload_size:[17408], speed:[16.819324]
id:[10254], time_cost:[1692], payload_size:[40448], speed:[23.905437]
id:[13773], time_cost:[1344], payload_size:[44032], speed:[32.761905]
id:[11121], time_cost:[1314], payload_size:[18432], speed:[14.027397]
id:[11759], time_cost:[1025], payload_size:[17408], speed:[16.983415]
id:[14863], time_cost:[1291], payload_size:[18432], speed:[14.277304]
id:[10376], time_cost:[1110], payload_size:[36864], speed:[33.210811]
id:[12526], time_cost:[1246], payload_size:[11776], speed:[9.451043]
id:[12318], time_cost:[1064], payload_size:[12288], speed:[11.548872]
id:[14591], time_cost:[1386], payload_size:[41984], speed:[30.291486]
id:[13729], time_cost:[880], payload_size:[16384], speed:[18.618182]
id:[11018], time_cost:[1134], payload_size:[36352], speed:[32.056437]
id:[12283], time_cost:[1391], payload_size:[46080], speed:[33.127247]
id:[11299], time_cost:[1545], payload_size:[30720], speed:[19.883495]
id:[11202], time_cost:[1435], payload_size:[24576], speed:[17.126132]
id:[10023], time_cost:[1384], payload_size:[9728], speed:[7.028902]
