id:[13752], time_cost:[588], payload_size:[1536], speed:[2.612245]
id:[11273], time_cost:[614], payload_size:[7168], speed:[11.674267]
id:[14714], time_cost:[808], payload_size:[2048], speed:[2.534653]
id:[13002], time_cost:[594], payload_size:[3584], speed:[6.033670]
id:[10190], time_cost:[602], payload_size:[4608], speed:[7.654485]
id:[12322], time_cost:[828], payload_size:[4096], speed:[4.946860]
id:[11948], time_cost:[533], payload_size:[3072], speed:[5.763602]
id:[12967], time_cost:[497], payload_size:[5632], speed:[11.331992]
id:[14882], time_cost:[612], payload_size:[5632], speed:[9.202614]
id:[12025], time_cost:[824], payload_size:[3072], speed:[3.728155]
id:[14065], time_cost:[760], payload_size:[9216], speed:[12.126316]
id:[10037], time_cost:[779], payload_size:[8704], speed:[11.173299]
id:[12439], time_cost:[789], payload_size:[5120], speed:[6.489227]
id:[13978], time_cost:[621], payload_size:[9216], speed:[14.840580]
id:[11308], time_cost:[542], payload_size:[9216], speed:[17.003690]
id:[11645], time_cost:[745], payload_size:[2048], speed:[2.748993]
id:[11541], time_cost:[628], payload_size:[1536], speed:[2.445860]
id:[14749], time_cost:[546], payload_size:[2048], speed:[3.750916]
id:[10340], time_cost:[355], payload_size:[2560], speed:[7.211268]
id:[14408], time_cost:[781], payload_size:[6144], speed:[7.866837]
id:[10692], time_cost:[597], payload_size:[10240], speed:[17.152429]
id:[10402], time_cost:[516], payload_size:[7680], speed:[14.883721]
id:[12784], time_cost:[785], payload_size:[7680], speed:[9.783439]
id:[11384], time_cost:[578], payload_size:[3584], speed:[6.200692]
id:[10234], time_cost:[549], payload_size:[9728], speed:[17.719490]
id:[11756], time_cost:[860], payload_size:[7680], speed:[8.930233]
id:[11921], time_cost:[795], payload_size:[6656], speed:[8.372327]
id:[11400], time_cost:[858], payload_size:[5632], speed:[6.564103]
id:[10201], time_cost:[617], payload_size:[9728], speed:[15.766613]
id:[10208], time_cost:[289], payload_size:[4096], speed:[14.173010]
id:[11426], time_cost:[452], payload_size:[5632], speed:[12.460177]
id:[14911], time_cost:[1040], payload_size:[6144], speed:[5.907692]
id:[11621], time_cost:[736], payload_size:[2560], speed:[3.478261]
id:[11192], time_cost:[307], payload_size:[3584], speed:[11.674267]
id:[10489], time_cost:[591], payload_size:[2560], speed:[4.331641]
id:[12153], time_cost:[522], payload_size:[9216], speed:[17.655172]
id:[14200], time_cost:[374], payload_size:[8192], speed:[21.903743]
id:[13507], time_cost:[546], payload_size:[7168], speed:[13.128205]
id:[11163], time_cost:[552], payload_size:[5632], speed:[10.202899]
id:[13581], time_cost:[1015], payload_size:[5632], speed:[5.548768]
id:[14902], time_cost:[571], payload_size:[4096], speed:[7.173380]
id:[11381], time_cost:[449], payload_size:[4096], speed:[9.122494]
id:[13038], time_cost:[949], payload_size:[3584], speed:[3.776607]
id:[11598], time_cost:[667], payload_size:[512], speed:[0.767616]
id:[10751], time_cost:[585], payload_size:[512], speed:[0.875214]
id:[12263], time_cost:[846], payload_size:[7168], speed:[8.472813]
id:[12229], time_cost:[650], payload_size:[5632], speed:[8.664615]
id:[10725], time_cost:[898], payload_size:[512], speed:[0.570156]
id:[10758], time_cost:[774], payload_size:[3072], speed:[3.968992]
id:[14315], time_cost:[745], payload_size:[9216], speed:[12.370470]
id:[14907], time_cost:[914], payload_size:[9728], speed:[10.643326]
id:[11879], time_cost:[436], payload_size:[3072], speed:[7.045872]
id:[11994], time_cost:[982], payload_size:[6656], speed:[6.778004]
id:[14544], time_cost:[990], payload_size:[4608], speed:[4.654545]
id:[10557], time_cost:[867], payload_size:[2560], speed:[2.952710]
id:[11353], time_cost:[724], payload_size:[6144], speed:[8.486188]
id:[12519], time_cost:[628], payload_size:[1024], speed:[1.630573]
id:[10492], time_cost:[689], payload_size:[3584], speed:[5.201742]
id:[13875], time_cost:[1101], payload_size:[9216], speed:[8.370572]
id:[11737], time_cost:[789], payload_size:[3072], speed:[3.893536]
id:[10970], time_cost:[842], payload_size:[10240], speed:[12.161520]
id:[10457], time_cost:[976], payload_size:[6144], speed:[6.295082]
id:[11653], time_cost:[980], payload_size:[3072], speed:[3.134694]
id:[13204], time_cost:[750], payload_size:[8704], speed:[11.605333]
id:[13942], time_cost:[572], payload_size:[512], speed:[0.895105]
id:[11004], time_cost:[264], payload_size:[4096], speed:[15.515152]
id:[14021], time_cost:[949], payload_size:[4608], speed:[4.855638]
id:[12889], time_cost:[943], payload_size:[4096], speed:[4.343584]
id:[14662], time_cost:[815], payload_size:[5632], speed:[6.910429]
id:[10612], time_cost:[830], payload_size:[1536], speed:[1.850602]
id:[12982], time_cost:[785], payload_size:[6656], speed:[8.478981]
id:[12135], time_cost:[808], payload_size:[1536], speed:[1.900990]
id:[12458], time_cost:[828], payload_size:[2048], speed:[2.473430]
id:[11830], time_cost:[492], payload_size:[512], speed:[1.040650]
id:[14640], time_cost:[994], payload_size:[4096], speed:[4.120724]
id:[10740], time_cost:[927], payload_size:[7680], speed:[8.284790]
id:[10826], time_cost:[827], payload_size:[6144], speed:[7.429262]
id:[11990], time_cost:[504], payload_size:[1024], speed:[2.031746]
id:[13341], time_cost:[587], payload_size:[8704], speed:[14.827939]
id:[14795], time_cost:[433], payload_size:[2560], speed:[5.912240]
id:[14880], time_cost:[636], payload_size:[2048], speed:[3.220126]
id:[12700], time_cost:[736], payload_size:[4608], speed:[6.260870]
id:[13708], time_cost:[769], payload_size:[10240], speed:[13.315995]
id:[13362], time_cost:[487], payload_size:[8192], speed:[16.821355]
id:[12365], time_cost:[741], payload_size:[2560], speed:[3.454791]
id:[14760], time_cost:[365], payload_size:[3072], speed:[8.416438]
id:[13572], time_cost:[951], payload_size:[8704], speed:[9.152471]
id:[10408], time_cost:[783], payload_size:[1024], speed:[1.307791]
id:[11746], time_cost:[1046], payload_size:[4608], speed:[4.405354]
id:[14007], time_cost:[731], payload_size:[2048], speed:[2.801642]
id:[11348], time_cost:[690], payload_size:[7680], speed:[11.130435]
id:[13294], time_cost:[667], payload_size:[4096], speed:[6.140930]
id:[10110], time_cost:[868], payload_size:[8192], speed:[9.437788]
id:[10161], time_cost:[1033], payload_size:[3584], speed:[3.469506]
id:[12647], time_cost:[707], payload_size:[2560], speed:[3.620934]
id:[13130], time_cost:[794], payload_size:[5632], speed:[7.093199]
id:[10371], time_cost:[707], payload_size:[7680], speed:[10.862801]
id:[10773], time_cost:[342], payload_size:[9216], speed:[26.947368]
id:[14663], time_cost:[820], payload_size:[1024], speed:[1.248780]
id:[11500], time_cost:[370], payload_size:[4608], speed:[12.454054]
id:[13019], time_cost:[619], payload_size:[2560], speed:[4.135703]
id:[14304], time_cost:[1032], payload_size:[3072], speed:[2.976744]
id:[11258], time_cost:[647], payload_size:[8192], speed:[12.661515]
id:[11995], time_cost:[638], payload_size:[2048], speed:[3.210031]
id:[12377], time_cost:[890], payload_size:[6656], speed:[7.478652]
id:[14713], time_cost:[662], payload_size:[2048], speed:[3.093656]
id:[13494], time_cost:[1166], payload_size:[4608], speed:[3.951973]
id:[14438], time_cost:[1006], payload_size:[6144], speed:[6.107356]
id:[13160], time_cost:[833], payload_size:[5632], speed:[6.761104]
id:[14154], time_cost:[921], payload_size:[1024], speed:[1.111835]
id:[14525], time_cost:[924], payload_size:[3584], speed:[3.878788]
id:[10361], time_cost:[681], payload_size:[9216], speed:[13.533040]
id:[14452], time_cost:[744], payload_size:[1024], speed:[1.376344]
id:[12740], time_cost:[943], payload_size:[5120], speed:[5.429480]
id:[12947], time_cost:[571], payload_size:[6144], speed:[10.760070]
id:[10254], time_cost:[952], payload_size:[9728], speed:[10.218487]
id:[14630], time_cost:[815], payload_size:[7168], speed:[8.795092]
id:[11140], time_cost:[743], payload_size:[8704], speed:[11.714670]
id:[11412], time_cost:[511], payload_size:[9216], speed:[18.035225]
id:[12670], time_cost:[844], payload_size:[1536], speed:[1.819905]
id:[10131], time_cost:[772], payload_size:[2560], speed:[3.316062]
id:[11473], time_cost:[837], payload_size:[5120], speed:[6.117085]
id:[10872], time_cost:[799], payload_size:[3584], speed:[4.485607]
id:[11853], time_cost:[606], payload_size:[8704], speed:[14.363036]
id:[11984], time_cost:[743], payload_size:[5632], speed:[7.580081]
id:[14087], time_cost:[1072], payload_size:[2048], speed:[1.910448]
id:[13507], time_cost:[1055], payload_size:[1536], speed:[1.455924]
id:[11268], time_cost:[991], payload_size:[8192], speed:[8.266398]
id:[12196], time_cost:[640], payload_size:[6144], speed:[9.600000]
id:[12781], time_cost:[830], payload_size:[10240], speed:[12.337349]
id:[10309], time_cost:[1023], payload_size:[6144], speed:[6.005865]
id:[13855], time_cost:[715], payload_size:[5120], speed:[7.160839]
id:[10564], time_cost:[371], payload_size:[5632], speed:[15.180593]
id:[12777], time_cost:[453], payload_size:[1536], speed:[3.390728]
id:[11905], time_cost:[825], payload_size:[9728], speed:[11.791515]
id:[12784], time_cost:[963], payload_size:[4096], speed:[4.253375]
id:[14959], time_cost:[885], payload_size:[8704], speed:[9.835028]
id:[11388], time_cost:[660], payload_size:[1536], speed:[2.327273]
id:[12493], time_cost:[389], payload_size:[7168], speed:[18.426735]
id:[13003], time_cost:[910], payload_size:[7680], speed:[8.439560]
id:[14253], time_cost:[406], payload_size:[6144], speed:[15.133005]
id:[12072], time_cost:[710], payload_size:[4608], speed:[6.490141]
id:[10975], time_cost:[1036], payload_size:[1024], speed:[0.988417]
id:[13283], time_cost:[819], payload_size:[2560], speed:[3.125763]
id:[10100], time_cost:[513], payload_size:[3584], speed:[6.986355]
id:[10981], time_cost:[1228], payload_size:[5120], speed:[4.169381]
id:[13608], time_cost:[868], payload_size:[6656], speed:[7.668203]
id:[11965], time_cost:[710], payload_size:[2048], speed:[2.884507]
id:[14505], time_cost:[1018], payload_size:[6656], speed:[6.538310]
id:[12271], time_cost:[721], payload_size:[7680], speed:[10.651872]
id:[14814], time_cost:[780], payload_size:[4608], speed:[5.907692]
